2026-02-26 16:17:14,451 [DEBUG] 📁 Log file created at: c:\Users\s1834431\Programs\fem_model\post_processing\results\job_0003_n16_2026-02-26_16-17-11-253585_pid18316_c3552ce7\logs\ModifyGlobalSystem.log (Module: modification, Line: 134)
2026-02-26 16:17:14,451 [INFO] 🔧 Applying stabilized boundary conditions... (Module: modification, Line: 152)
2026-02-26 16:17:14,451 [DEBUG] Computed penalty value: 1.00e+36 (Module: modification, Line: 210)
2026-02-26 16:17:14,451 [DEBUG] 
  76   68 -2.607898e+07
  58   52  1.086624e+06
  51   45 -1.689161e+04
  17   19 -1.683513e+08
  14   14  8.345272e+08
  90   84 -2.200800e+09
  57   57  3.378322e+04
  76   74  0.000000e+00
  80   74 -4.172636e+08
  56   52  2.607898e+07
  22   26  2.607898e+07
  22   20  0.000000e+00
  47   37  1.683513e+08
  68   74 -4.172636e+08
  67   73 -2.693621e+09
  76   80  2.607898e+07
  38   32 -4.172636e+08
  95   91  0.000000e+00
  18   12 -2.200800e+09
  70   64  1.086624e+06
  19   17 -1.683513e+08
   6    6  4.401600e+09
  21   15 -1.689161e+04
  31   35  0.000000e+00
  85   83 -1.683513e+08
  22   16  1.086624e+06
  29   29  2.805855e+07
  28   28  4.346496e+06
  94   92  0.000000e+00
  82   82  4.346496e+06
  33   33  3.378322e+04
  50   58 -2.607898e+07
  37   47  1.683513e+08
  41   47  7.014638e+06
  35   29  7.014638e+06
  91   89 -1.683513e+08
  69   69  3.378322e+04
  77   71  7.014638e+06
  19   13 -2.693621e+09
  80   76  2.607898e+07
  91  101  1.683513e+08
  97  101 -1.683513e+08
  20   14 -4.172636e+08
  62   58  2.607898e+07
  63   63  3.378322e+04
  76   70  1.086624e+06
  17   23  7.014638e+06
  38   46 -2.607898e+07
  34   28  1.086624e+06
  82   76  1.086624e+06
  89   83  7.014638e+06
  92   88  2.607898e+07
  47   53  7.014638e+06
  86   80 -4.172636e+08
  35   37 -1.683513e+08
  35   31  0.000000e+00
  16   22  1.086624e+06
  17   13  0.000000e+00
  22   14 -2.607898e+07
  12    6 -2.200800e+09
  16   10  1.086624e+06
  91   95  0.000000e+00
  71   61  1.683513e+08
   4    4  1.000000e+36
  60   66 -2.200800e+09
  92   92  8.345272e+08
  46   44  0.000000e+00
  63   57 -1.689161e+04
   7    7  5.387242e+09
  98  100  2.607898e+07
   5    5  1.000000e+36
  81   81  3.378322e+04
  56   50 -4.172636e+08
  75   81 -1.689161e+04
   6   12 -2.200800e+09
  38   44 -4.172636e+08
  83   89  7.014638e+06
  11    7  0.000000e+00
  20   22  0.000000e+00
  80   80  8.345272e+08
  10   14  2.607898e+07
  37   43 -2.693621e+09
  66   72 -2.200800e+09
   8   14 -4.172636e+08
  67   67  5.387242e+09
  44   46  0.000000e+00
  19   29  1.683513e+08
  79   83  0.000000e+00
  46   38 -2.607898e+07
  23   17  7.014638e+06
  81   87 -1.689161e+04
  64   56 -2.607898e+07
  67   61 -2.693621e+09
  94   98  2.607898e+07
  95  101  7.014638e+06
  75   75  3.378322e+04
  38   38  8.345272e+08
  79   85 -2.693621e+09
  50   56 -4.172636e+08
  98   98  4.172636e+08
  45   39 -1.689161e+04
  67   71  0.000000e+00
  68   76 -2.607898e+07
  28   26  0.000000e+00
  65   71  7.014638e+06
  19   25 -2.693621e+09
  71   67  0.000000e+00
  86   92 -4.172636e+08
  89   79  1.683513e+08
  53   53  2.805855e+07
  25   19 -2.693621e+09
  65   65  2.805855e+07
  25   31 -2.693621e+09
  56   62 -4.172636e+08
  64   70  1.086624e+06
  59   53  7.014638e+06
  25   29  0.000000e+00
  10    8  0.000000e+00
  35   41  7.014638e+06
  38   40  0.000000e+00
  37   35 -1.683513e+08
  58   50 -2.607898e+07
  64   64  4.346496e+06
  61   61  5.387242e+09
  94  100  1.086624e+06
  56   64 -2.607898e+07
  20   16  2.607898e+07
  88   94  1.086624e+06
  91   91  5.387242e+09
  35   25  1.683513e+08
  27   21 -1.689161e+04
  79   89  1.683513e+08
  77   83  7.014638e+06
  83   79  0.000000e+00
   9   15 -1.689161e+04
  36   30 -2.200800e+09
  49   47 -1.683513e+08
  54   60 -2.200800e+09
  13   11 -1.683513e+08
  29   31 -1.683513e+08
 100   94  1.086624e+06
  27   33 -1.689161e+04
  67   65 -1.683513e+08
  85   89  0.000000e+00
  42   36 -2.200800e+09
  48   54 -2.200800e+09
  30   24 -2.200800e+09
  40   44  2.607898e+07
  84   84  4.401600e+09
  31   29 -1.683513e+08
  54   48 -2.200800e+09
  29   25  0.000000e+00
  87   87  3.378322e+04
  59   61 -1.683513e+08
  34   32  0.000000e+00
  44   52 -2.607898e+07
  71   77  7.014638e+06
  55   49 -2.693621e+09
  32   28  2.607898e+07
  59   59  2.805855e+07
  49   55 -2.693621e+09
  83   77  7.014638e+06
  77   67  1.683513e+08
  73   77  0.000000e+00
  33   39 -1.689161e+04
  13   19 -2.693621e+09
  95   95  2.805855e+07
  39   39  3.378322e+04
  13   23  1.683513e+08
  16    8 -2.607898e+07
  26   26  8.345272e+08
  23   29  7.014638e+06
  19   19  5.387242e+09
  40   40  4.346496e+06
  46   52  1.086624e+06
  41   41  2.805855e+07
  56   56  8.345272e+08
  85   85  5.387242e+09
  99   99  1.689161e+04
  86   86  8.345272e+08
  69   63 -1.689161e+04
  28   32  2.607898e+07
  78   78  4.401600e+09
  50   52  0.000000e+00
  16   14  0.000000e+00
  97   95 -1.683513e+08
  87   93 -1.689161e+04
  97   91 -2.693621e+09
  21   27 -1.689161e+04
  34   34  4.346496e+06
  96   90 -2.200800e+09
  14    8 -4.172636e+08
  68   70  0.000000e+00
  13    7 -2.693621e+09
  43   43  5.387242e+09
  74   80 -4.172636e+08
  70   76  1.086624e+06
  17   11  7.014638e+06
  84   78 -2.200800e+09
  89   91 -1.683513e+08
  50   50  8.345272e+08
  99   93 -1.689161e+04
  12   12  4.401600e+09
   2    2  1.000000e+36
  53   49  0.000000e+00
  80   86 -4.172636e+08
  38   34  2.607898e+07
  69   75 -1.689161e+04
  95   89  7.014638e+06
  53   59  7.014638e+06
 100  100  2.173248e+06
  34   38  2.607898e+07
  49   53  0.000000e+00
  28   20 -2.607898e+07
  72   78 -2.200800e+09
  83   73  1.683513e+08
  73   67 -2.693621e+09
  50   44 -4.172636e+08
  79   77 -1.683513e+08
  44   50 -4.172636e+08
  49   59  1.683513e+08
  47   49 -1.683513e+08
  53   55 -1.683513e+08
  58   64  1.086624e+06
  20   20  8.345272e+08
  11   13 -1.683513e+08
  50   46  2.607898e+07
  51   57 -1.689161e+04
  32   38 -4.172636e+08
  29   23  7.014638e+06
  40   38  0.000000e+00
  88   82  1.086624e+06
  80   82  0.000000e+00
  14   22 -2.607898e+07
  61   71  1.683513e+08
  87   81 -1.689161e+04
  22   28  1.086624e+06
  85   95  1.683513e+08
  72   66 -2.200800e+09
   8   10  0.000000e+00
  83   83  2.805855e+07
 100   98  2.607898e+07
  52   56  2.607898e+07
  39   33 -1.689161e+04
  23   23  2.805855e+07
 101   95  7.014638e+06
  95   85  1.683513e+08
  29   19  1.683513e+08
  37   31 -2.693621e+09
  37   41  0.000000e+00
   9    9  3.378322e+04
  70   70  4.346496e+06
  28   34  1.086624e+06
  73   71 -1.683513e+08
  34   40  1.086624e+06
  54   54  4.401600e+09
  59   49  1.683513e+08
  74   70  2.607898e+07
  82   74 -2.607898e+07
  56   58  0.000000e+00
  79   79  5.387242e+09
  10   10  4.346496e+06
  66   60 -2.200800e+09
  61   55 -2.693621e+09
  52   50  0.000000e+00
 100   92 -2.607898e+07
   3    3  1.000000e+36
  72   72  4.401600e+09
  32   26 -4.172636e+08
  62   70 -2.607898e+07
  64   62  0.000000e+00
  22   22  4.346496e+06
  43   53  1.683513e+08
  77   73  0.000000e+00
  95   97 -1.683513e+08
  62   56 -4.172636e+08
  65   67 -1.683513e+08
  88   88  4.346496e+06
  43   47  0.000000e+00
  90   96 -2.200800e+09
  23   13  1.683513e+08
  68   68  8.345272e+08
  58   62  2.607898e+07
   7   17  1.683513e+08
  77   79 -1.683513e+08
  24   18 -2.200800e+09
  60   54 -2.200800e+09
  14   10  2.607898e+07
  96   96  2.200800e+09
  18   24 -2.200800e+09
  15    9 -1.689161e+04
  61   59 -1.683513e+08
  17    7  1.683513e+08
  49   43 -2.693621e+09
  81   75 -1.689161e+04
  89   85  0.000000e+00
  86   94 -2.607898e+07
  31   37 -2.693621e+09
  51   51  3.378322e+04
  19   23  0.000000e+00
  77   77  2.805855e+07
  32   40 -2.607898e+07
  44   44  8.345272e+08
  11   11  2.805855e+07
  15   21 -1.689161e+04
   0    0  1.000000e+36
  47   41  7.014638e+06
  91   97 -2.693621e+09
  26   28  0.000000e+00
  76   82  1.086624e+06
  67   77  1.683513e+08
  98   94  2.607898e+07
  42   48 -2.200800e+09
  58   56  0.000000e+00
  25   35  1.683513e+08
  93   99 -1.689161e+04
  26   20 -4.172636e+08
  89   89  2.805855e+07
  40   46  1.086624e+06
  20   26 -4.172636e+08
  68   62 -4.172636e+08
  16   20  2.607898e+07
  75   69 -1.689161e+04
  48   48  4.401600e+09
  62   68 -4.172636e+08
  52   52  4.346496e+06
  36   42 -2.200800e+09
  35   35  2.805855e+07
  73   83  1.683513e+08
  43   41 -1.683513e+08
  78   72 -2.200800e+09
  33   27 -1.689161e+04
  91   85 -2.693621e+09
 101   97 -1.683513e+08
  59   55  0.000000e+00
  71   73 -1.683513e+08
  47   47  2.805855e+07
  23   25 -1.683513e+08
  31   31  5.387242e+09
  88   86  0.000000e+00
  92   98 -4.172636e+08
  83   85 -1.683513e+08
  25   25  5.387242e+09
  23   19  0.000000e+00
  60   60  4.401600e+09
  31   25 -2.693621e+09
  78   84 -2.200800e+09
  65   59  7.014638e+06
  18   18  4.401600e+09
  71   65  7.014638e+06
  58   58  4.346496e+06
  82   80  0.000000e+00
  90   90  4.401600e+09
  15   15  3.378322e+04
  28   22  1.086624e+06
  84   90 -2.200800e+09
  93   93  3.378322e+04
  61   67 -2.693621e+09
  89   95  7.014638e+06
  14   16  0.000000e+00
  85   79 -2.693621e+09
  17   17  2.805855e+07
  88   92  2.607898e+07
  32   34  0.000000e+00
  65   55  1.683513e+08
  12   18 -2.200800e+09
  43   49 -2.693621e+09
  80   88 -2.607898e+07
  39   45 -1.689161e+04
  37   37  5.387242e+09
  55   65  1.683513e+08
  47   43  0.000000e+00
  13   13  5.387242e+09
  13   17  0.000000e+00
  32   32  8.345272e+08
  44   38 -4.172636e+08
  94   94  4.346496e+06
  64   68  2.607898e+07
  86   88  0.000000e+00
  92   86 -4.172636e+08
  36   36  4.401600e+09
  64   58  1.086624e+06
  94   86 -2.607898e+07
  42   42  4.401600e+09
  26   32 -4.172636e+08
  74   76  0.000000e+00
  93   87 -1.689161e+04
  74   68 -4.172636e+08
  46   46  4.346496e+06
  55   61 -2.693621e+09
  29   35  7.014638e+06
  88   80 -2.607898e+07
  59   65  7.014638e+06
  21   21  3.378322e+04
  73   79 -2.693621e+09
  11   17  7.014638e+06
  40   34  1.086624e+06
  74   74  8.345272e+08
  97   97  2.693621e+09
  41   43 -1.683513e+08
  98   92 -4.172636e+08
  14   20 -4.172636e+08
  45   51 -1.689161e+04
  70   62 -2.607898e+07
  86   82  2.607898e+07
  24   30 -2.200800e+09
  20   28 -2.607898e+07
  24   24  4.401600e+09
  65   61  0.000000e+00
  55   59  0.000000e+00
  62   62  8.345272e+08
  49   49  5.387242e+09
   7   11  0.000000e+00
  79   73 -2.693621e+09
  46   40  1.086624e+06
  57   51 -1.689161e+04
  71   71  2.805855e+07
  45   45  3.378322e+04
  30   30  4.401600e+09
  16   16  4.346496e+06
  41   37  0.000000e+00 (Module: modification, Line: 346)
2026-02-26 16:17:14,457 [DEBUG] 
Condition Estimate: 5.9e+31 (Module: modification, Line: 352)
2026-02-26 16:17:14,458 [INFO] ✅ Boundary conditions applied in 0.01s (Module: modification, Line: 170)
